gene_name.GENEID,gene_name.GENENAME,MUT_12DPA_R1,MUT_12DPA_R2,MUT_12DPA_R3,WT_12DPA_R1,WT_12DPA_R2,MUT_14DPA_R1,MUT_14DPA_R2,MUT_14DPA_R3,WT_14DPA_R1,WT_14DPA_R2
ENSMUSG00000033882,Rbm46,0.05,0.05,0.24,0.04,0.04,0.01,0.06,0.02,0.01,0.03
ENSMUSG00000033883,D3Ertd254e,2.34,2.48,2.83,1.77,1.72,1.71,1.47,1.6,0.98,1.55
ENSMUSG00000033885,Pxk,8.93,10.62,12.1,8.61,8.74,9.55,7.63,7.76,5.36,6.92
ENSMUSG00000033898,Cfhr2,0,0,0,0.01,0,0,0,0,0.01,0
ENSMUSG00000033900,Map9,1.03,1.37,1.83,1.23,2.45,0.57,0.49,0.29,0.55,1.04
ENSMUSG00000033902,Mapkbp1,5.31,6.53,7.12,6.4,5.94,4.69,4.43,4.6,4.34,6.15
ENSMUSG00000033904,Ccp110,1.45,2.07,2.19,1.81,3.35,1.24,0.9,1.03,1.29,3.16
ENSMUSG00000033906,Zdhhc15,1.4,1.45,1.68,0.73,0.88,0.88,1.04,0.87,0.65,0.73
ENSMUSG00000033909,Usp36,6.26,7.04,8.99,5.64,7.06,5.37,4,4.42,3.21,5.16
ENSMUSG00000033910,Gucy1a3,0.23,0.38,0.39,0.91,0.85,0.18,0.53,0.24,0.83,1.28
ENSMUSG00000033916,Chmp2a,108.87,113.66,116.96,81.27,69.94,125.03,107.56,111.18,58.19,61.44
ENSMUSG00000033917,Gde1,17.4,22.58,22.12,14.36,20.58,19.21,15.98,16.53,9.44,12.49
ENSMUSG00000033918,Parl,102.42,101.41,102.45,67.42,66.09,108.58,100.24,120.04,56.52,74.83
ENSMUSG00000033931,Rbm34,6.44,7.02,7.08,5.22,4.11,5.97,4.97,5.24,3.67,4.84
ENSMUSG00000033933,Vhl,8.56,6.64,7.18,3.73,4.41,7.48,7.02,7.57,3.28,4.28
ENSMUSG00000033938,Ndufb7,45.84,42.9,49.35,31.97,32.93,36.77,40.31,42.15,23.38,26.27
ENSMUSG00000033940,Brk1,57.97,56.64,57.53,42.43,35.98,50.04,55.18,57.44,30.33,34.51
ENSMUSG00000033943,Mga,12.62,13.97,14.43,11.43,12.43,8.05,8.44,8.46,8.19,10.73
ENSMUSG00000033948,Zswim5,0.06,0.06,0.1,0.02,0.07,0.04,0.05,0.02,0.01,0.02
ENSMUSG00000033949,Trim36,0.23,0.2,0.25,0.33,0.97,0.1,0.12,0.21,0.46,2.42
ENSMUSG00000033952,Aspm,3.77,2.18,4.9,2.12,3.12,1.15,0.94,1.6,1.29,2.39
ENSMUSG00000033953,Ppp3r1,32.87,37.22,43.26,30.48,27.01,36.12,35.61,33.02,21.03,26.48
ENSMUSG00000033955,Tnks1bp1,101.17,141.28,128.66,80.52,87.62,114.02,81.26,81.56,42.67,48.67
ENSMUSG00000033960,9430020K01Rik,2.44,2.94,3.77,4.27,4.42,1.63,2.04,1.74,2.66,3.01
ENSMUSG00000033961,Zfp446,1.07,1.3,1.31,0.74,1.24,0.76,0.8,0.68,0.63,0.91
ENSMUSG00000033963,Fancd2os,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033964,Zbtb41,10.74,11.28,13.57,8.76,9.37,10.51,8.35,8.88,5.99,7.31
ENSMUSG00000033965,Slc16a2,3.74,4.47,5.51,3.73,3.67,2.62,2.94,2.41,1.99,2.63
ENSMUSG00000033966,Cdkl4,0.03,0.01,0.07,0.03,0.02,0.01,0,0.05,0,0.02
ENSMUSG00000033967,2310014L17Rik,24.14,37.04,30.97,23.81,20.35,46.9,26.43,25.34,13.51,11.86
ENSMUSG00000033970,Rfc3,15.58,13.83,18.44,5.2,7.27,10.22,11.51,10.99,5.19,6.52
ENSMUSG00000033972,Zfp944,2.02,1.88,2.18,1.85,1.66,1.55,1.83,1.64,1.42,2.01
ENSMUSG00000033981,Gria2,0.03,0.03,0.01,0.07,0.18,0.04,0.03,0.04,0.05,0.08
ENSMUSG00000033983,Coil,1.85,2.02,2.44,1.6,1.43,1.48,1.83,1.56,1.03,1.34
ENSMUSG00000033985,Tesk2,1.14,1.27,1.81,1.34,1.32,0.55,0.79,0.78,0.78,1.82
ENSMUSG00000033987,Dnah17,0.06,0.03,0.05,0.06,0.16,0.02,0.03,0.03,0.02,0.09
ENSMUSG00000033991,Ttc37,12.04,15,14.62,11.16,12.22,11.16,8.28,9.95,6.75,8.69
ENSMUSG00000033998,Kcnk1,8.03,10.43,8.42,6.12,9.52,9.22,7.27,8.03,5.01,6.54
ENSMUSG00000034000,Neu4,0,0,0,0,0,0,0,0,0.01,0
ENSMUSG00000034006,Pqlc1,26.35,27.96,32.53,22.76,22.42,26.19,26.03,27.97,14.54,18.27
ENSMUSG00000034007,Scaper,6.73,8.28,6.69,5.18,4.77,7.48,5.87,6.15,3.72,4.17
ENSMUSG00000034009,Rxfp1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000034021,Pds5b,3.98,3.88,5.04,3.74,4.32,2.36,2.84,2.58,2.49,3.55
ENSMUSG00000034022,Cpsf1,13.61,13.56,19.91,10.83,12.19,12.49,9.86,10.62,6.77,9.97
ENSMUSG00000034023,Fancd2,1.36,0.79,1.96,0.43,0.86,0.33,0.38,0.48,0.42,0.87
ENSMUSG00000034024,Cct2,114.11,119.65,132.67,74.1,83.73,112.73,94.64,98.25,55.22,79.14
ENSMUSG00000034028,Cd226,0.15,0.01,0,0.12,0.02,0.01,0.23,0.04,0.15,0.05
ENSMUSG00000034031,1700106J16Rik,0,0.01,0,0,0,0,0,0,0,0.02
ENSMUSG00000034032,Rpap1,5.59,6.15,7.43,3.05,4.69,4.66,4.14,4.01,2.51,3.41
ENSMUSG00000034035,Ccdc17,0.6,0.87,0.67,0.66,0.79,0.44,0.42,0.35,0.63,0.51
ENSMUSG00000034037,Fgd5,0.42,0.62,1.05,0.95,1.61,0.3,0.69,0.39,1.03,1.3
ENSMUSG00000034039,Prss29,0.01,0,0,0,0,0,0,0,0.01,0
ENSMUSG00000034040,Wbscr17,0.32,0.42,0.36,0.53,0.43,0.1,0.22,0.22,0.44,0.39
ENSMUSG00000034041,Lyl1,0.1,0.13,0.41,0.34,0.25,0.09,0.16,0.14,0.28,0.24
ENSMUSG00000034042,Gpbp1l1,25.85,30.02,32.41,18.07,16.92,30.07,25.53,25.06,14.16,18.85
ENSMUSG00000034055,Phka1,0.61,0.56,0.77,0.93,1.08,0.45,0.61,0.51,0.82,0.9
ENSMUSG00000034057,Myrfl,0.05,0.04,0.03,0.11,0.23,0.01,0.02,0,0.05,0.06
ENSMUSG00000034059,Ypel4,0.2,0.29,0.15,0.24,0.19,0.14,0.25,0.21,0.33,0.27
ENSMUSG00000034063,4930590J08Rik,0.27,0.22,0.29,0.35,0.59,0.14,0.13,0.24,0.24,0.27
ENSMUSG00000034064,Poglut1,7.36,8.16,7.44,5.85,7.16,5.43,6.3,6.41,4.7,6.85
ENSMUSG00000034066,Farp2,8.45,11.29,12.66,10.78,14.09,6.14,6.53,5.55,6.3,8.65
ENSMUSG00000034071,Zfp551,0.87,0.86,0.89,0.53,0.56,0.61,0.83,0.57,0.5,0.68
ENSMUSG00000034075,Zdhhc5,46.11,62.8,60.51,38.86,44.13,54.74,43.77,42.7,22.25,33.76
ENSMUSG00000034083,Ccdc174,6.8,7.24,7.77,5.95,6.37,6.74,5.6,5.67,3.64,5.14
ENSMUSG00000034087,Nlrp4b,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000034088,Hdlbp,96.99,107.81,122.12,76.15,98.72,77.53,66.36,64.51,48.92,66.45
ENSMUSG00000034098,Fstl5,0,0.01,0,0,0,0,0,0,0,0
ENSMUSG00000034101,Ctnnd1,80.63,109.99,104.31,55.54,66.6,91.37,75.2,66.91,32.79,49.83
ENSMUSG00000034105,Tldc1,4.6,4.48,4.63,3.46,3.46,3.38,3.2,2.98,2.05,3.03
ENSMUSG00000034107,Ano7,0.39,0.47,0.29,0.05,0.25,0.15,0.13,0.22,0.02,0.1
ENSMUSG00000034108,Ccs,11.4,12.14,12.68,8.5,9.86,9.69,10,11.02,6.68,8.07
ENSMUSG00000034109,Golim4,28.42,36.84,41.4,24.68,30.78,30.01,24.5,25.32,19.47,22.72
ENSMUSG00000034110,Kctd7,0.5,0.77,0.44,0.93,0.94,0.23,0.27,0.51,0.45,0.67
ENSMUSG00000034111,Tmed8,2.02,2.45,2.8,2.28,2.75,1.44,1.45,1.13,1.74,1.79
ENSMUSG00000034112,Atp2c2,4.21,5.47,5.64,6.08,7.17,5.4,2.84,3.21,3.35,3.59
ENSMUSG00000034115,Scn11a,0,0,0.01,0,0,0,0,0,0,0
ENSMUSG00000034116,Vav1,0.59,0.37,1.49,0.43,0.47,0.28,0.33,0.23,0.3,0.26
ENSMUSG00000034117,Ptgdr2,0.02,0.02,0.01,0.01,0.03,0.01,0,0.01,0.01,0.02
ENSMUSG00000034118,Tpst1,5.46,6.97,7.29,6.51,8.02,4.71,5.51,5.19,3.57,6.21
ENSMUSG00000034120,Srsf2,76.36,79.78,89.36,64.09,89.23,49.74,51.83,62.14,45.31,61.5
ENSMUSG00000034121,Mks1,1.43,1.34,1.54,0.82,1.19,1.08,1.02,1.15,0.82,1.27
ENSMUSG00000034126,Pomt2,1.52,1.63,2.21,1.62,2.44,1.06,1.25,1.11,1.17,1.49
ENSMUSG00000034127,Tspan8,0.19,0.07,0.1,0.04,0.11,0.23,0.27,0.17,0.05,0.18
ENSMUSG00000034135,Sik3,8.22,10.86,13.4,7.65,9.04,9.28,8.8,7.89,5.34,6.72
ENSMUSG00000034139,Serpini2,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000034145,Tmem63c,0.02,0.02,0.11,0.13,0.18,0.03,0.11,0.08,0.1,0.05
